elapsed_s,FRET_mA,FRET_V,DAMPER_mA,DAMPER_V,PICK_mA,PICK_V
7.201,0.00,9.93,553.75,0.00,-1.25,1.35
7.220,1.25,9.61,736.25,0.10,-1.25,1.35
7.240,-480.00,10.03,316.25,0.00,-1.25,1.35
7.260,1.25,9.62,531.25,0.00,0.00,1.36
7.279,-2.50,10.03,650.00,1.16,0.00,1.35
7.299,1.25,9.79,686.25,0.00,0.00,1.35
7.318,0.00,10.18,183.75,0.00,0.00,1.36
7.338,1.25,9.94,827.50,0.00,0.00,1.36
7.357,1.25,9.47,560.00,0.00,-1.25,1.36
7.378,0.00,11.64,683.75,0.00,0.00,1.36
7.397,2.50,9.60,757.50,0.00,-1.25,1.36
7.419,1.25,10.14,666.25,0.00,0.00,1.36
7.438,2.50,9.77,732.50,0.00,0.00,1.35
7.458,0.00,10.05,45.00,0.00,-2.50,1.37
7.477,1.25,10.01,872.50,0.00,0.00,1.36
7.497,0.00,9.43,381.25,0.00,-1.25,1.33
7.526,1.25,10.04,688.75,0.00,1.25,1.39
7.553,1.25,11.55,693.75,0.00,-1.25,1.39
7.574,1.25,9.81,880.00,0.00,0.00,1.34
7.602,0.00,10.81,81.25,0.00,0.00,1.31
7.632,0.00,9.51,766.25,0.14,0.00,1.35
7.660,0.00,9.89,723.75,0.00,0.00,1.32
7.685,1.25,9.43,610.00,0.00,0.00,1.32
7.706,7.50,10.02,733.75,0.00,0.00,1.32
7.725,0.00,9.52,385.00,0.00,-1.25,1.32
7.746,0.00,10.42,693.75,0.00,-1.25,1.32
7.766,0.00,9.65,678.75,0.00,-1.25,1.32
7.786,1.25,11.02,693.75,0.03,-1.25,1.32
7.805,0.00,9.80,877.50,0.00,-1.25,1.33
7.825,0.00,9.38,20.00,0.00,0.00,1.32
7.844,0.00,11.40,877.50,0.00,0.00,1.33
7.864,1.25,9.54,861.25,0.00,0.00,1.33
7.883,-1.25,10.18,298.75,0.00,-1.25,1.33
7.903,0.00,9.90,873.75,0.00,-1.25,1.34
7.922,-1.25,10.12,132.50,1.08,-1.25,1.34
7.942,1.25,9.91,612.50,0.00,0.00,1.34
7.961,0.00,9.50,751.25,0.00,-1.25,1.32
7.989,1.25,9.82,732.50,0.00,-1.25,1.40
8.012,0.00,11.19,698.75,0.66,0.00,1.40
8.032,-5.00,9.90,707.50,0.00,0.00,1.40
8.054,0.00,9.50,752.50,0.28,-2.50,1.39
8.073,3.75,10.03,310.00,0.00,-1.25,1.39
8.093,0.00,9.62,861.25,0.00,-1.25,1.39
8.112,1.25,11.51,691.25,0.00,0.00,1.39
8.132,1.25,9.75,742.50,0.00,-2.50,1.39
8.151,1.25,10.31,652.50,0.00,-1.25,1.40
8.171,2.50,10.10,888.75,0.00,0.00,1.31
8.190,2.50,9.48,773.75,0.00,0.00,1.32
8.210,1.25,10.57,657.50,0.00,0.00,1.33
8.229,1.25,9.64,873.75,0.00,0.00,1.31
8.249,2.50,10.04,518.75,0.00,0.00,1.31
8.268,-1.25,9.87,875.00,0.00,1.25,1.31
8.288,1.25,9.83,550.00,0.18,-2.50,1.32
8.307,0.00,10.03,758.75,0.00,0.00,1.32
8.327,0.00,9.57,856.25,0.00,-1.25,1.32
8.346,-2.50,11.47,558.75,2.44,0.00,1.32
8.367,0.00,9.69,475.00,0.00,-1.25,1.32
8.387,1.25,11.40,702.50,0.89,0.00,1.31
8.407,0.00,9.82,692.50,0.00,0.00,1.32
8.426,0.00,9.42,262.50,0.00,0.00,1.32
8.446,1.25,11.59,871.25,0.00,-1.25,1.32
8.465,2.50,9.54,703.75,0.00,0.00,1.33
8.485,1.25,10.12,130.00,0.00,-1.25,1.33
8.505,1.25,9.68,878.75,0.00,0.00,1.32
8.527,0.00,11.18,280.00,0.00,-1.25,1.32
8.548,0.00,9.78,727.50,0.00,0.00,1.32
8.571,1.25,10.31,652.50,1.48,0.00,1.40
8.591,0.00,9.85,576.25,0.00,0.00,1.39
8.615,-2.50,10.03,696.25,0.00,-1.25,1.34
8.646,1.25,9.56,672.50,0.00,0.00,1.37
